"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significance"
"ENSG00000276814",11.9489047036626,-1.05200390555164,0.669770692616101,-1.57069265220093,0.116254056766422,0.753215122837149,"ENSG00000276814","Not Significant"
"SENP1",909.669385755584,0.253847968811044,0.306030050983235,0.829487065062606,0.406828853138456,0.928447884386542,"SENP1","Not Significant"
"ENSG00000240399",14.7150780360711,-0.593376734482709,0.658549060153223,-0.901036491259511,0.367568917913853,0.920558935264017,"ENSG00000240399","Not Significant"
"PFKM",1321.35033673052,0.240435355355747,0.216183815584811,1.11218018196844,0.26606068708036,0.893965622070524,"PFKM","Not Significant"
"ASB8",317.842470615449,0.26852716660623,0.241271921712116,1.1129648435703,0.265723528832021,0.893457360692831,"ASB8","Not Significant"
"ENSG00000269514",44.7416846857765,-0.110499332866174,0.434152317107869,-0.254517432043831,0.799095838584009,0.983459472180802,"ENSG00000269514","Not Significant"
"ZNF641",360.428256865674,0.174121543071702,0.4543914297888,0.383197242854324,0.701573522176846,0.971589353039595,"ZNF641","Not Significant"
"ENSG00000257735",1.97661177832293,-3.0001599465114,2.23355303932079,-1.34322305926692,0.17919975710647,0.840008924316019,"ENSG00000257735","Not Significant"
"KANSL2",863.816962876512,0.0288064032540028,0.314397473739741,0.0916241562355834,0.926996658275227,0.994570208548909,"KANSL2","Not Significant"
"SNORA2C",2.11333600697567,0.714454267002603,1.37787343793244,0.518519515170185,0.604095847771464,0.958671143476612,"SNORA2C","Not Significant"
"SNORA2A",10.7630773851915,0.295391077209035,0.81085374022911,0.3642963737524,0.715636707437598,0.974404967015986,"SNORA2A","Not Significant"
"SNORA2B",11.9054424001322,0.0989706355168041,0.795335316471388,0.124438879384736,0.900967791268713,0.993726380000358,"SNORA2B","Not Significant"
"CCNT1",2500.0783123078,0.197263492713833,0.20561509813336,0.959382333810379,0.337366171499739,0.915862614336476,"CCNT1","Not Significant"
"ADCY6",810.844809574582,0.0244406096540864,0.235617467252269,0.103730041491018,0.917383585586494,0.994202998797607,"ADCY6","Not Significant"
"ENSG00000257660",7.38141789896051,-0.917038955869236,1.00443232367607,-0.91299227857683,0.361246602528712,0.92019707380631,"ENSG00000257660","Not Significant"
"CACNB3",265.607973286354,0.0950583404516564,0.45590110887096,0.208506490995533,0.834833514933833,0.98693741124102,"CACNB3","Not Significant"
"DDX23",2246.57537406686,0.340927069701656,0.433043321885538,0.787281670150706,0.4311169973596,0.93080728565452,"DDX23","Not Significant"
"RND1",30.0168975733147,-0.0723119385733594,0.500926300317102,-0.144356442310144,0.885219010473871,0.992531820608056,"RND1","Not Significant"
"FKBP11",350.90939296219,0.179604028985083,0.520342995043064,0.345164690782891,0.729970562059585,0.97644537187863,"FKBP11","Not Significant"
"ARF3",2098.78568888742,0.330266973858706,0.243141272688948,1.35833365601083,0.17435783546475,0.836489545430876,"ARF3","Not Significant"
"WNT10B",65.360706544863,0.61601096410791,0.661844973389492,0.930748119084665,0.351983872288535,0.918459788257129,"WNT10B","Not Significant"
"DDN",188.64339540331,0.247350103666899,0.705762731547147,0.35047203912945,0.725984470670911,0.975751620608522,"DDN","Not Significant"
"DDN-AS1",55.035304654854,-0.207161197146733,0.543280460320996,-0.381315383631379,0.7029692399468,0.971589353039595,"DDN-AS1","Not Significant"
"PRKAG1",481.167690929289,0.449986943093415,0.206962941763916,2.17423921045111,0.0296871750701119,0.417762411691277,"PRKAG1","Not Significant"
"KMT2D",5016.46156772608,-0.200980118744271,0.329751868863958,-0.609488945238358,0.542200398004075,0.952001379373138,"KMT2D","Not Significant"
"RHEBL1",59.1483933297398,0.643541325762575,0.430806470632121,1.49380608145998,0.135226311558911,0.787466974081936,"RHEBL1","Not Significant"
"DHH",2.00928066485232,-1.12688112723001,1.6247157308576,-0.693586641544477,0.487941473531727,0.945074417670817,"DHH","Not Significant"
"LMBR1L",208.182043299908,0.118035499406329,0.315885393152671,0.373665582407228,0.708653134666527,0.973016795009919,"LMBR1L","Not Significant"
"ENSG00000258017",25.5111870913932,-0.0197969708951926,0.518998919050156,-0.038144532037608,0.969572445695928,0.998778847089635,"ENSG00000258017","Not Significant"
"TUBA1B",19307.3103652185,-0.174481656974778,0.511771223913927,-0.340936826499107,0.733151140395263,0.97644537187863,"TUBA1B","Not Significant"
"TUBA1A",441.839893339225,-0.419615826278322,0.552951117888568,-0.758866042048375,0.447932694370145,0.934790739881055,"TUBA1A","Not Significant"
"TUBA1C",6617.47798426149,0.107601929647544,0.425805281787175,0.252702195698279,0.800498351022562,0.983466385125034,"TUBA1C","Not Significant"
"ENSG00000258101",8.70859487604255,-0.532496722483455,1.16343904840644,-0.457691980695347,0.647173750204137,0.964801569809138,"ENSG00000258101","Not Significant"
"ENSG00000258232",4.19941772068725,2.79570544852202,1.29802675744322,2.15381187829198,0.0312549278083994,0.426957268732729,"ENSG00000258232","Not Significant"
"ENSG00000258334",9.30658533699134,0.900601291175467,1.412341380884,0.637665442197673,0.523691485710635,0.951651433233631,"ENSG00000258334","Not Significant"
"PRPH",14.2382743018574,-0.0323090500567547,1.11628754008801,-0.0289433043875124,0.976909808168424,0.999559229594546,"PRPH","Not Significant"
"TROAP",1248.49456441072,0.0148307451659259,0.364591797097509,0.0406776709843516,0.967552862832016,0.99865785402429,"TROAP","Not Significant"
"C1QL4",14.8969761255198,0.103619589508764,1.15501466876208,0.0897127909378159,0.928515451232937,0.994764918088137,"C1QL4","Not Significant"
"DNAJC22",503.526219541946,-0.145147692329454,0.648404547587606,-0.223853600147435,0.822871221204735,0.985900584080696,"DNAJC22","Not Significant"
"SPATS2",681.018927202864,0.0771678957140348,0.257821785383642,0.299307118671946,0.764705723505283,0.980143581153559,"SPATS2","Not Significant"
"ENSG00000257954",22.2569234651794,-0.934099345083938,0.587980365050898,-1.5886573780454,0.112137766493506,0.74467157717727,"ENSG00000257954","Not Significant"
"KCNH3",22.727457230642,0.283836905496364,1.07775562511665,0.263359242931944,0.792273701458223,0.982320103664724,"KCNH3","Not Significant"
"MCRS1",947.965625300031,0.162106650995249,0.39099812849404,0.414596999785178,0.678436944864,0.96799425785199,"MCRS1","Not Significant"
"PRPF40B",173.156279467937,-0.255835786577494,0.459246355392316,-0.557077445631426,0.577474516736224,0.95414975106987,"PRPF40B","Not Significant"
"FAM186B",12.6444519592411,0.615918592727727,0.844298817185397,0.729503086100474,0.465693980702787,0.939973363527212,"FAM186B","Not Significant"
"RNU6-834P",2.32460468111489,-0.181203783734039,1.36878397357798,-0.132383040152329,0.894681328604424,0.993106994756737,"RNU6-834P","Not Significant"
"POLR2KP1",4.51353794194418,-0.547950279800117,1.05882298232904,-0.517508864980263,0.604800982169934,0.958796087580094,"POLR2KP1","Not Significant"
"ENSG00000257243",4.12874268500904,0.802867067096259,1.02310103759024,0.784738786881981,0.432606736583502,0.93080728565452,"ENSG00000257243","Not Significant"
"FMNL3",369.761513118869,-0.164823612832519,0.424660182378589,-0.388130603414043,0.697919385491702,0.971314531213757,"FMNL3","Not Significant"
"TMBIM6",10280.4708599797,0.206709097730891,0.222598598081991,0.928618147247953,0.353087013784736,0.918459788257129,"TMBIM6","Not Significant"
"NCKAP5L",216.733407928215,-0.145573228818856,0.244510482993369,-0.59536600245808,0.551598845773044,0.952561849688252,"NCKAP5L","Not Significant"
"BCDIN3D-AS1",13.3495402417535,0.146096918346067,0.892601085838206,0.16367548803604,0.869986615001067,0.990926245413015,"BCDIN3D-AS1","Not Significant"
"BCDIN3D",139.816904777025,0.0182648559799273,0.295270276973714,0.0618580920745817,0.950675841230841,0.995966460215722,"BCDIN3D","Not Significant"
"FAIM2",3.28467316268308,-1.6115550786817,1.73952426007795,-0.92643437959841,0.354220284397314,0.918459788257129,"FAIM2","Not Significant"
"ENSG00000257588",4.30387142469311,-1.46638683369605,1.66939264900394,-0.878395406000491,0.379729176588113,0.922101289226201,"ENSG00000257588","Not Significant"
"AQP5",3.39289910975046,-2.22053141905926,1.76752136946522,-1.2562967879314,0.209008386067395,0.865092425394778,"AQP5","Not Significant"
"AQP6",10.2912178205017,-0.965387915760954,1.48074705354708,-0.651960045065358,0.514426947831583,0.950572917773244,"AQP6","Not Significant"
"RACGAP1",2311.73783865052,0.414573538777619,0.213127961759824,1.94518605327257,0.0517525897912824,0.541024129807786,"RACGAP1","Not Significant"
"ASIC1",594.310509452199,-0.115586476905695,0.294458398503966,-0.392539243210406,0.694659821340758,0.971164239778491,"ASIC1","Not Significant"
"SMARCD1",1324.16488678788,0.18023491275233,0.36648543855689,0.491792834831424,0.622865802317045,0.961906492882615,"SMARCD1","Not Significant"
"GPD1",13.1782400497383,-0.41293878341886,0.691218923236104,-0.597406652997274,0.550235912959551,0.952561849688252,"GPD1","Not Significant"
"COX14",178.482400511511,0.854692766867718,0.469791493330643,1.81930234795924,0.0688653153820788,0.611380818612332,"COX14","Not Significant"
"ENSG00000272368",15.9387283159855,-0.355906604381583,0.592757217565391,-0.600425593877008,0.548222635018521,0.952561849688252,"ENSG00000272368","Not Significant"
"CERS5",495.594437690585,-0.0959652747384353,0.197979414576599,-0.484723499883398,0.627872494485343,0.962075548386187,"CERS5","Not Significant"
"LIMA1",1492.48068837663,0.030775234087701,0.293189720360292,0.104966961494701,0.916402024764602,0.994202998797607,"LIMA1","Not Significant"
"ENSG00000257298",21.6937479710126,-0.678864720321556,0.52793939229434,-1.28587623926171,0.198486257355024,0.860175449494646,"ENSG00000257298","Not Significant"
"ENSG00000257531",5.14396537059451,-0.997883295074511,1.05040196201236,-0.950001362490574,0.342111560311272,0.916836758896583,"ENSG00000257531","Not Significant"
