,logFC,AveExpr,t,P.Value,adj.P.Val,B,sig_lfc1,sig_lfc1.5,sig_lfc2,sig_lfc3
MAP3K20,0.899518366,7.618569683,1.947223515,0.058083149,0.895409612,-3.954798977,Not Significant,Not Significant,Not Significant,Not Significant
LPAR2,0.49119038,8.622054623,1.945884112,0.058248917,0.895409612,-3.956227913,Not Significant,Not Significant,Not Significant,Not Significant
CLK3,0.305314579,7.71956896,1.945588233,0.058285591,0.895409612,-3.956543467,Not Significant,Not Significant,Not Significant,Not Significant
MCM3,-0.698740914,10.59704641,-1.941205135,0.058831199,0.895409612,-3.961213711,Not Significant,Not Significant,Not Significant,Not Significant
ZFHX2,0.287186878,6.994382964,1.94017648,0.058959881,0.895409612,-3.962308579,Not Significant,Not Significant,Not Significant,Not Significant
NFE2L1,0.433969321,10.52500996,1.938540738,0.059165005,0.895409612,-3.964048691,Not Significant,Not Significant,Not Significant,Not Significant
PMM2,-0.505256841,8.630630656,-1.938110402,0.059219071,0.895409612,-3.964506297,Not Significant,Not Significant,Not Significant,Not Significant
UBOX5,0.331271403,8.173482692,1.936620359,0.059406604,0.895409612,-3.966090155,Not Significant,Not Significant,Not Significant,Not Significant
RPRD1A,-0.622248458,8.515269641,-1.936490749,0.059422941,0.895409612,-3.966227881,Not Significant,Not Significant,Not Significant,Not Significant
CPLANE2,0.315488004,6.622715517,1.9359216,0.059494724,0.895409612,-3.966832585,Not Significant,Not Significant,Not Significant,Not Significant
KDM1A,0.553524967,10.06492229,1.935491485,0.059549022,0.895409612,-3.967289479,Not Significant,Not Significant,Not Significant,Not Significant
ST3GAL1,-1.004216375,8.47731162,-1.934781856,0.059638697,0.895409612,-3.968043118,Not Significant,Not Significant,Not Significant,Not Significant
NABP2,-0.597798909,8.555769298,-1.931886823,0.060005745,0.895409612,-3.971115482,Not Significant,Not Significant,Not Significant,Not Significant
H2AZ2,-0.52700183,9.962529721,-1.931776104,0.060019821,0.895409612,-3.971232912,Not Significant,Not Significant,Not Significant,Not Significant
ACP5,-0.861428768,9.167859824,-1.930149455,0.060226947,0.895409612,-3.972957562,Not Significant,Not Significant,Not Significant,Not Significant
SLC22A18,-0.650788886,9.389942395,-1.929001636,0.060373472,0.895409612,-3.974173858,Not Significant,Not Significant,Not Significant,Not Significant
UPK3B,1.742268178,8.238205363,1.928674747,0.060415256,0.895409612,-3.974520146,Not Significant,Not Significant,Not Significant,Not Significant
ZNF330,-0.502446258,8.828639209,-1.9270868,0.06061859,0.895409612,-3.976201684,Not Significant,Not Significant,Not Significant,Not Significant
ATP5F1C,0.476203426,11.28034165,1.925866324,0.060775268,0.895409612,-3.977493365,Not Significant,Not Significant,Not Significant,Not Significant
SH2B2,-0.668916116,8.639392974,-1.924010822,0.061014134,0.895409612,-3.979455905,Not Significant,Not Significant,Not Significant,Not Significant
IRAK1,-0.725276984,9.81475612,-1.92262445,0.061193131,0.895409612,-3.980921296,Not Significant,Not Significant,Not Significant,Not Significant
RPL21,0.345374297,10.24089329,1.922522476,0.061206315,0.895409612,-3.98102905,Not Significant,Not Significant,Not Significant,Not Significant
NFIB,0.74598827,7.843850347,1.922225905,0.061244671,0.895409612,-3.981342405,Not Significant,Not Significant,Not Significant,Not Significant
BCCIP,-0.615736482,8.63158915,-1.92180197,0.061299536,0.895409612,-3.981790268,Not Significant,Not Significant,Not Significant,Not Significant
HAT1,-0.578361388,10.30307175,-1.921782631,0.06130204,0.895409612,-3.981810696,Not Significant,Not Significant,Not Significant,Not Significant
AKAP12,1.062345326,7.490499503,1.921538744,0.061333623,0.895409612,-3.982068312,Not Significant,Not Significant,Not Significant,Not Significant
MRM2,-0.509570635,9.150368986,-1.921340292,0.061359333,0.895409612,-3.982277917,Not Significant,Not Significant,Not Significant,Not Significant
TBC1D16,0.348810446,7.799762285,1.920954544,0.061409334,0.895409612,-3.982685295,Not Significant,Not Significant,Not Significant,Not Significant
ZNF764,-0.483643116,7.151001841,-1.920529437,0.061464477,0.895409612,-3.983134165,Not Significant,Not Significant,Not Significant,Not Significant
TMEM176B,-0.810932367,8.015127271,-1.917441041,0.061866366,0.895409612,-3.986392889,Not Significant,Not Significant,Not Significant,Not Significant
IL6ST,-0.45841788,7.287968097,-1.917409035,0.061870543,0.895409612,-3.986426638,Not Significant,Not Significant,Not Significant,Not Significant
SEMA3G,0.520098869,7.004666042,1.917146092,0.061904865,0.895409612,-3.986703891,Not Significant,Not Significant,Not Significant,Not Significant
CPD,-0.677545419,8.138436428,-1.916040954,0.062049298,0.895409612,-3.987868851,Not Significant,Not Significant,Not Significant,Not Significant
COQ6,0.399954609,7.944220364,1.915980487,0.062057209,0.895409612,-3.987932576,Not Significant,Not Significant,Not Significant,Not Significant
POMT2,0.351495697,8.211275552,1.915275231,0.062149541,0.895409612,-3.988675717,Not Significant,Not Significant,Not Significant,Not Significant
ZNF185,-0.786584951,9.897234561,-1.91350349,0.062382018,0.895409612,-3.990541694,Not Significant,Not Significant,Not Significant,Not Significant
WDR25,0.40119726,6.837394319,1.91329654,0.062409221,0.895409612,-3.990759564,Not Significant,Not Significant,Not Significant,Not Significant
DUSP13,0.267208446,6.583168727,1.911626314,0.062629141,0.895409612,-3.992517251,Not Significant,Not Significant,Not Significant,Not Significant
HIP1,-0.577899926,7.627908199,-1.911522928,0.062642775,0.895409612,-3.992626012,Not Significant,Not Significant,Not Significant,Not Significant
THRA,0.248599203,7.410008311,1.911026976,0.062708217,0.895409612,-3.993147682,Not Significant,Not Significant,Not Significant,Not Significant
NONO,-0.414995727,11.48088466,-1.910765367,0.062742761,0.895409612,-3.993422814,Not Significant,Not Significant,Not Significant,Not Significant
POFUT2,0.230028669,7.27925092,1.910727922,0.062747707,0.895409612,-3.993462193,Not Significant,Not Significant,Not Significant,Not Significant
ZNF696,-0.397471034,7.579660563,-1.910254294,0.062810291,0.895409612,-3.993960223,Not Significant,Not Significant,Not Significant,Not Significant
FAM111A,-0.460818246,7.540284481,-1.908050182,0.063102244,0.895409612,-3.996276631,Not Significant,Not Significant,Not Significant,Not Significant
GYPC,0.537439244,9.353845817,1.907418141,0.063186177,0.895409612,-3.99694049,Not Significant,Not Significant,Not Significant,Not Significant
MAP3K12,-0.488962961,8.299736748,-1.907407039,0.063187652,0.895409612,-3.996952149,Not Significant,Not Significant,Not Significant,Not Significant
TOMM40,0.559811123,8.765763873,1.906313913,0.063333044,0.895409612,-3.998099895,Not Significant,Not Significant,Not Significant,Not Significant
HSPA4,-0.516303913,9.230954032,-1.905739527,0.063409555,0.895409612,-3.998702776,Not Significant,Not Significant,Not Significant,Not Significant
COPS7A,0.666133241,10.17935125,1.905516168,0.063439329,0.895409612,-3.998937177,Not Significant,Not Significant,Not Significant,Not Significant
CDK2,-0.447087246,7.609853666,-1.902416994,0.063853686,0.895409612,-4.002187361,Not Significant,Not Significant,Not Significant,Not Significant
C3orf18,0.47442987,8.015000887,1.900147756,0.064158547,0.895409612,-4.004564554,Not Significant,Not Significant,Not Significant,Not Significant
RNF138,-0.691891101,8.561403096,-1.899807717,0.064204337,0.895409612,-4.00492058,Not Significant,Not Significant,Not Significant,Not Significant
NSA2,-0.560147399,11.2775634,-1.897615746,0.064500178,0.895409612,-4.007214409,Not Significant,Not Significant,Not Significant,Not Significant
ITFG1,-0.500334319,7.994857315,-1.897484035,0.064517991,0.895409612,-4.007352174,Not Significant,Not Significant,Not Significant,Not Significant
DGLUCY,0.414833866,8.903299273,1.897268323,0.064547175,0.895409612,-4.007577786,Not Significant,Not Significant,Not Significant,Not Significant
IRF8,-0.743730814,8.347513024,-1.895511698,0.064785247,0.895409612,-4.009414284,Not Significant,Not Significant,Not Significant,Not Significant
ZNF292,-0.398187866,7.159372725,-1.895095526,0.06484176,0.895409612,-4.009849185,Not Significant,Not Significant,Not Significant,Not Significant
COA7,0.401124647,8.291856206,1.895092476,0.064842174,0.895409612,-4.009852372,Not Significant,Not Significant,Not Significant,Not Significant
ROCK2,-0.404038602,8.622608896,-1.893739708,0.065026161,0.895409612,-4.0112655,Not Significant,Not Significant,Not Significant,Not Significant
MICB,-0.650781356,8.3872381,-1.893443615,0.065066492,0.895409612,-4.0115747,Not Significant,Not Significant,Not Significant,Not Significant
ACTG2,0.615337011,7.160539323,1.892292949,0.065223425,0.895409612,-4.012775941,Not Significant,Not Significant,Not Significant,Not Significant
SF3B3,0.360729755,8.725387412,1.891992712,0.065264426,0.895409612,-4.013089281,Not Significant,Not Significant,Not Significant,Not Significant
PINK1,0.461807916,9.441987642,1.890784914,0.065429587,0.895409612,-4.014349396,Not Significant,Not Significant,Not Significant,Not Significant
DGCR2,-0.412226911,8.896199405,-1.890142269,0.065517612,0.895409612,-4.015019621,Not Significant,Not Significant,Not Significant,Not Significant
LSM7,-0.470834899,10.65250813,-1.889651465,0.065584906,0.895409612,-4.015531368,Not Significant,Not Significant,Not Significant,Not Significant
HNRNPA2B1,-0.366397239,9.672033203,-1.889386721,0.06562123,0.895409612,-4.015807367,Not Significant,Not Significant,Not Significant,Not Significant
EIF3A,-0.607319243,10.10146005,-1.889079935,0.065663343,0.895409612,-4.016127156,Not Significant,Not Significant,Not Significant,Not Significant
ISYNA1,0.378028446,7.370589488,1.88906782,0.065665007,0.895409612,-4.016139783,Not Significant,Not Significant,Not Significant,Not Significant
CSDC2,0.447544192,7.490527092,1.885984043,0.066089618,0.895409612,-4.019351995,Not Significant,Not Significant,Not Significant,Not Significant
GDF5,0.315616862,7.951098335,1.884878147,0.066242461,0.895409612,-4.020502949,Not Significant,Not Significant,Not Significant,Not Significant
NCBP3,-0.439510349,7.424570703,-1.88472578,0.066263542,0.895409612,-4.020661482,Not Significant,Not Significant,Not Significant,Not Significant
GRM2,0.298726616,7.208596061,1.884547124,0.066288269,0.895409612,-4.020847356,Not Significant,Not Significant,Not Significant,Not Significant
MSH6,-0.31869353,7.700187365,-1.881928441,0.066651606,0.895409612,-4.023570249,Not Significant,Not Significant,Not Significant,Not Significant
RFX5,-0.55293646,9.797877191,-1.881869288,0.066659833,0.895409612,-4.023631722,Not Significant,Not Significant,Not Significant,Not Significant
TYK2,0.484497711,9.494097077,1.879511434,0.066988466,0.895409612,-4.026080808,Not Significant,Not Significant,Not Significant,Not Significant
DNAAF1,0.341011223,7.172128481,1.878552985,0.067122446,0.895409612,-4.027075653,Not Significant,Not Significant,Not Significant,Not Significant
DHDDS,0.329437263,8.248598923,1.878405331,0.067143107,0.895409612,-4.027228879,Not Significant,Not Significant,Not Significant,Not Significant
ATP5IF1,0.526329689,10.01031245,1.877775349,0.067231319,0.895409612,-4.027882526,Not Significant,Not Significant,Not Significant,Not Significant
CENPU,-0.900248858,7.826496699,-1.876744098,0.067375932,0.895409612,-4.028952146,Not Significant,Not Significant,Not Significant,Not Significant
HNRNPF,-0.434796161,10.30582506,-1.876118757,0.067463752,0.895409612,-4.029600529,Not Significant,Not Significant,Not Significant,Not Significant
VCY,0.322930206,7.470912973,1.87598524,0.067482515,0.895409612,-4.029738944,Not Significant,Not Significant,Not Significant,Not Significant
MYL12A,-0.45653238,8.585641116,-1.875001739,0.067620865,0.895409612,-4.030758284,Not Significant,Not Significant,Not Significant,Not Significant
HPS4,-0.465611076,7.201086463,-1.873206979,0.067873956,0.895409612,-4.032617363,Not Significant,Not Significant,Not Significant,Not Significant
NDUFA13,0.484906729,11.86005233,1.872925663,0.0679137,0.895409612,-4.032908633,Not Significant,Not Significant,Not Significant,Not Significant
POLD4,-0.458200273,9.12936919,-1.872468133,0.06797838,0.895409612,-4.033382281,Not Significant,Not Significant,Not Significant,Not Significant
DOK5,1.398355026,9.887783451,1.87151377,0.068113467,0.895409612,-4.034369969,Not Significant,Not Significant,Not Significant,Not Significant
ATRX,-0.442288158,7.893463537,-1.870009138,0.068326905,0.895409612,-4.035926338,Not Significant,Not Significant,Not Significant,Not Significant
MID2,0.375228744,7.775218803,1.867511692,0.068682436,0.895409612,-4.038507485,Not Significant,Not Significant,Not Significant,Not Significant
ADGRA2,0.503848804,8.109069176,1.866336825,0.06885023,0.895409612,-4.039720788,Not Significant,Not Significant,Not Significant,Not Significant
STARD8,0.247674217,7.800547252,1.865384728,0.068986465,0.895409612,-4.040703593,Not Significant,Not Significant,Not Significant,Not Significant
GPT,-0.505373964,7.479196086,-1.865283589,0.06900095,0.895409612,-4.040807972,Not Significant,Not Significant,Not Significant,Not Significant
CANT1,0.390544108,9.24802945,1.864990126,0.069042995,0.895409612,-4.041110807,Not Significant,Not Significant,Not Significant,Not Significant
AKAP9,-0.434149957,6.844208357,-1.862709625,0.069370469,0.895409612,-4.043462862,Not Significant,Not Significant,Not Significant,Not Significant
ACBD3,-0.626842944,9.540129021,-1.86062475,0.069671007,0.895409612,-4.045611169,Not Significant,Not Significant,Not Significant,Not Significant
PRRG3,0.387149543,6.820773031,1.859829874,0.06978588,0.895409612,-4.04642973,Not Significant,Not Significant,Not Significant,Not Significant
HMGXB4,-0.433556122,8.943721815,-1.858422147,0.069989716,0.895409612,-4.047878724,Not Significant,Not Significant,Not Significant,Not Significant
SOX13,-0.564455172,8.120033964,-1.856664734,0.070244896,0.895409612,-4.049686443,Not Significant,Not Significant,Not Significant,Not Significant
MVD,0.392758297,7.19046537,1.856393625,0.070284332,0.895409612,-4.049965192,Not Significant,Not Significant,Not Significant,Not Significant
SLC25A3,0.406866222,10.48003396,1.855237338,0.070452738,0.895409612,-4.051153704,Not Significant,Not Significant,Not Significant,Not Significant
ZNF446,0.323428815,8.12695218,1.851995893,0.070926662,0.895409612,-4.054482369,Not Significant,Not Significant,Not Significant,Not Significant
PRB3,0.419376353,7.82917097,1.851985883,0.07092813,0.895409612,-4.054492641,Not Significant,Not Significant,Not Significant,Not Significant
LRP1,0.276413573,6.847900108,1.851261864,0.071034357,0.895409612,-4.05523551,Not Significant,Not Significant,Not Significant,Not Significant
KCTD2,0.307550212,8.718349493,1.851143421,0.071051748,0.895409612,-4.055357015,Not Significant,Not Significant,Not Significant,Not Significant
PGLS,0.328623011,8.741325672,1.850904608,0.071086824,0.895409612,-4.055601983,Not Significant,Not Significant,Not Significant,Not Significant
PSME3IP1,-0.464038079,9.457773756,-1.850189469,0.071191947,0.895409612,-4.056335403,Not Significant,Not Significant,Not Significant,Not Significant
CHAF1A,-0.343843346,7.134674838,-1.849256761,0.071329251,0.895409612,-4.057291618,Not Significant,Not Significant,Not Significant,Not Significant
UNC119,0.365944804,8.930921399,1.848878792,0.071384955,0.895409612,-4.057679004,Not Significant,Not Significant,Not Significant,Not Significant
CEP57,-0.585352466,8.66580505,-1.848716581,0.071408873,0.895409612,-4.057845237,Not Significant,Not Significant,Not Significant,Not Significant
TTC13,-0.705150955,8.633723468,-1.848160452,0.071490925,0.895409612,-4.05841507,Not Significant,Not Significant,Not Significant,Not Significant
MTHFD1,0.410005052,7.424927311,1.847675343,0.071562564,0.895409612,-4.058912021,Not Significant,Not Significant,Not Significant,Not Significant
NAA15,-0.307812052,6.648321651,-1.846088136,0.071797382,0.895409612,-4.060537252,Not Significant,Not Significant,Not Significant,Not Significant
SSBP3,0.524883603,9.186673,1.845722847,0.071851517,0.895409612,-4.060911136,Not Significant,Not Significant,Not Significant,Not Significant
ALDH2,1.004834958,10.33311863,1.845094375,0.071944736,0.895409612,-4.061554259,Not Significant,Not Significant,Not Significant,Not Significant
SH3TC1,-0.415901121,7.505853276,-1.844697183,0.072003702,0.895409612,-4.061960619,Not Significant,Not Significant,Not Significant,Not Significant
ZNF638,-0.428275252,8.720182439,-1.84323237,0.072221522,0.895409612,-4.06345865,Not Significant,Not Significant,Not Significant,Not Significant
VPS13A,-0.486781427,6.921567504,-1.842864654,0.072276289,0.895409612,-4.063834557,Not Significant,Not Significant,Not Significant,Not Significant
MUC3A,0.259052287,7.309923321,1.842648568,0.072308489,0.895409612,-4.064055427,Not Significant,Not Significant,Not Significant,Not Significant
EGLN2,0.286304114,7.346807921,1.842015189,0.072402943,0.895409612,-4.064702715,Not Significant,Not Significant,Not Significant,Not Significant
ERG28,0.46571084,7.844391158,1.841051063,0.072546919,0.895409612,-4.065687674,Not Significant,Not Significant,Not Significant,Not Significant
ABCD1,-0.419383174,8.080193726,-1.840207163,0.072673142,0.895409612,-4.066549474,Not Significant,Not Significant,Not Significant,Not Significant
USP15,-0.301010795,7.325124517,-1.839727497,0.072744968,0.895409612,-4.067039175,Not Significant,Not Significant,Not Significant,Not Significant
ID1,-1.422974692,9.192864032,-1.839261946,0.072814739,0.895409612,-4.067514368,Not Significant,Not Significant,Not Significant,Not Significant
DNAJA2,-0.466891849,9.488176603,-1.839099458,0.072839104,0.895409612,-4.067680198,Not Significant,Not Significant,Not Significant,Not Significant
CATSPERZ,0.316536484,7.323917637,1.836276432,0.073263516,0.895409612,-4.07055945,Not Significant,Not Significant,Not Significant,Not Significant
PABPC4,0.605941775,11.42993464,1.835449872,0.073388176,0.895409612,-4.071401808,Not Significant,Not Significant,Not Significant,Not Significant
REX1BD,0.522945549,8.809404582,1.83490048,0.073471134,0.895409612,-4.071961534,Not Significant,Not Significant,Not Significant,Not Significant
FAT1,-0.943296104,9.359787821,-1.834344172,0.073555217,0.895409612,-4.07252817,Not Significant,Not Significant,Not Significant,Not Significant
DUSP26,0.293396787,6.593702112,1.833185568,0.073730595,0.895409612,-4.073707847,Not Significant,Not Significant,Not Significant,Not Significant
NME1,0.43396836,11.5426104,1.832540868,0.073828336,0.895409612,-4.074364017,Not Significant,Not Significant,Not Significant,Not Significant
GPSM3,-0.4493496,8.243448689,-1.832413557,0.07384765,0.895409612,-4.074493571,Not Significant,Not Significant,Not Significant,Not Significant
NSUN5,-0.372225981,10.04721348,-1.831831989,0.073935934,0.895409612,-4.075085296,Not Significant,Not Significant,Not Significant,Not Significant
DNAJC10,-0.634872608,8.256888234,-1.831318694,0.074013928,0.895409612,-4.075607431,Not Significant,Not Significant,Not Significant,Not Significant
B2M,-0.260088735,10.72691959,-1.831286504,0.074018822,0.895409612,-4.075640172,Not Significant,Not Significant,Not Significant,Not Significant
GJA1,-1.173127823,11.13094923,-1.831005246,0.07406159,0.895409612,-4.075926221,Not Significant,Not Significant,Not Significant,Not Significant
BCLAF1,-0.40898569,8.067982514,-1.830423995,0.074150042,0.895409612,-4.076517261,Not Significant,Not Significant,Not Significant,Not Significant
STUB1,0.475925937,10.89193892,1.828719665,0.074409914,0.895409612,-4.078249437,Not Significant,Not Significant,Not Significant,Not Significant
ERN2,0.246657111,7.674653403,1.828686742,0.074414941,0.895409612,-4.078282886,Not Significant,Not Significant,Not Significant,Not Significant
CPT1B,0.831539458,7.885851499,1.8283623,0.074464501,0.895409612,-4.078612478,Not Significant,Not Significant,Not Significant,Not Significant
LYN,-0.795891962,9.24950384,-1.828279101,0.074477215,0.895409612,-4.07869699,Not Significant,Not Significant,Not Significant,Not Significant
OSBPL3,-0.935529934,8.57125831,-1.827009581,0.074671437,0.895409612,-4.079986171,Not Significant,Not Significant,Not Significant,Not Significant
DDB2,-0.550914886,8.410318939,-1.826824482,0.07469979,0.895409612,-4.080174077,Not Significant,Not Significant,Not Significant,Not Significant
COX6C,0.442152893,13.06049496,1.826241558,0.074789143,0.895409612,-4.080765742,Not Significant,Not Significant,Not Significant,Not Significant
MAPK13,-0.735750492,9.019366226,-1.824484124,0.075059076,0.895409612,-4.082548621,Not Significant,Not Significant,Not Significant,Not Significant
ARMC1,-0.439947868,10.3232502,-1.824292929,0.075088492,0.895409612,-4.082742502,Not Significant,Not Significant,Not Significant,Not Significant
TOR1B,-0.645253149,8.790087015,-1.823984994,0.07513589,0.895409612,-4.083054728,Not Significant,Not Significant,Not Significant,Not Significant
CLIC1,-0.43402047,11.94189095,-1.823946397,0.075141833,0.895409612,-4.08309386,Not Significant,Not Significant,Not Significant,Not Significant
OPTN,0.537493717,10.07015251,1.82123505,0.075560286,0.895409612,-4.085841136,Not Significant,Not Significant,Not Significant,Not Significant
ABI2,-0.327303041,8.434015086,-1.8210049,0.075595897,0.895409612,-4.086074186,Not Significant,Not Significant,Not Significant,Not Significant
MTFR1,-0.409879039,7.461315116,-1.820666324,0.075648309,0.895409612,-4.086416986,Not Significant,Not Significant,Not Significant,Not Significant
GPRIN2,0.384853991,7.480133368,1.820411595,0.075687763,0.895409612,-4.086674859,Not Significant,Not Significant,Not Significant,Not Significant
SLF2,-0.453024635,7.480860511,-1.820410787,0.075687888,0.895409612,-4.086675677,Not Significant,Not Significant,Not Significant,Not Significant
ITGB7,0.388868795,7.829712092,1.820365758,0.075694864,0.895409612,-4.086721259,Not Significant,Not Significant,Not Significant,Not Significant
USP19,0.315925728,8.651307295,1.820090417,0.075737532,0.895409612,-4.08699996,Not Significant,Not Significant,Not Significant,Not Significant
NPTX2,-1.81728805,8.698906656,-1.819528581,0.075824661,0.895409612,-4.087568549,Not Significant,Not Significant,Not Significant,Not Significant
TMEM104,0.306036489,7.394225077,1.81869514,0.075954066,0.895409612,-4.08841175,Not Significant,Not Significant,Not Significant,Not Significant
GUCY1A1,-1.013771357,7.161070881,-1.818660457,0.075959455,0.895409612,-4.088446832,Not Significant,Not Significant,Not Significant,Not Significant
GDPD2,0.352798428,8.130866853,1.818033758,0.076056888,0.895409612,-4.089080657,Not Significant,Not Significant,Not Significant,Not Significant
FOXO4,0.485464563,6.846144722,1.817372543,0.076159802,0.895409612,-4.089749203,Not Significant,Not Significant,Not Significant,Not Significant
CHN1,-1.026060982,9.372781008,-1.817026501,0.076213708,0.895409612,-4.090099003,Not Significant,Not Significant,Not Significant,Not Significant
SNAI1,0.319142487,7.096516181,1.816679471,0.076267801,0.895409612,-4.09044975,Not Significant,Not Significant,Not Significant,Not Significant
HRH1,-0.926271138,7.711527506,-1.816059248,0.076364557,0.895409612,-4.091076481,Not Significant,Not Significant,Not Significant,Not Significant
CCT2,-0.540772997,11.27197213,-1.812702246,0.076890058,0.895409612,-4.094465747,Not Significant,Not Significant,Not Significant,Not Significant
HLA-DRB1,-0.661985137,10.55647262,-1.812288919,0.07695497,0.895409612,-4.0948827,Not Significant,Not Significant,Not Significant,Not Significant
ATP7A,-0.474398566,7.51251637,-1.811108493,0.077140609,0.895409612,-4.096073064,Not Significant,Not Significant,Not Significant,Not Significant
DPH5,-0.441803739,9.260283179,-1.810050322,0.077307342,0.895409612,-4.097139617,Not Significant,Not Significant,Not Significant,Not Significant
FARP2,0.278645958,7.359666534,1.80954977,0.077386318,0.895409612,-4.097643962,Not Significant,Not Significant,Not Significant,Not Significant
ZBED1,-0.753924677,8.522173306,-1.809392035,0.077411219,0.895409612,-4.097802868,Not Significant,Not Significant,Not Significant,Not Significant
SNUPN,0.576830881,9.348822263,1.809260409,0.077432004,0.895409612,-4.097935464,Not Significant,Not Significant,Not Significant,Not Significant
SMC6,-0.463850403,7.916523327,-1.808630613,0.077531519,0.895409612,-4.098569791,Not Significant,Not Significant,Not Significant,Not Significant
NGF,0.330931834,6.561366614,1.807528281,0.077705958,0.895409612,-4.099679629,Not Significant,Not Significant,Not Significant,Not Significant
TIA1,-0.535635074,8.568367306,-1.806479355,0.077872254,0.895409612,-4.100735195,Not Significant,Not Significant,Not Significant,Not Significant
FBLN2,-1.147544482,7.663150771,-1.805289825,0.078061204,0.895409612,-4.101931662,Not Significant,Not Significant,Not Significant,Not Significant
HSF2BP,0.429992627,7.151374593,1.804382318,0.078205616,0.895409612,-4.102844037,Not Significant,Not Significant,Not Significant,Not Significant
BLVRA,-0.343808485,8.293878092,-1.80333123,0.078373157,0.895409612,-4.103900305,Not Significant,Not Significant,Not Significant,Not Significant
JADE2,-0.44246041,7.518976389,-1.803164983,0.078399684,0.895409612,-4.104067327,Not Significant,Not Significant,Not Significant,Not Significant
ACO1,0.424014653,7.671768517,1.802926994,0.078437672,0.895409612,-4.104306402,Not Significant,Not Significant,Not Significant,Not Significant
EHD2,0.389728389,8.89257546,1.802886592,0.078444122,0.895409612,-4.104346986,Not Significant,Not Significant,Not Significant,Not Significant
DDX54,0.395948483,7.710623549,1.802292886,0.078538964,0.895409612,-4.104943282,Not Significant,Not Significant,Not Significant,Not Significant
TGOLN2,0.40672054,9.339062464,1.802074329,0.078573901,0.895409612,-4.105162753,Not Significant,Not Significant,Not Significant,Not Significant
SRSF9,0.409083222,11.5115985,1.801408745,0.078680379,0.895409612,-4.105830989,Not Significant,Not Significant,Not Significant,Not Significant
BET1,-0.517358167,9.901315248,-1.801158827,0.078720392,0.895409612,-4.106081852,Not Significant,Not Significant,Not Significant,Not Significant
HEMK1,0.437366149,7.681513883,1.800924994,0.078757845,0.895409612,-4.106316544,Not Significant,Not Significant,Not Significant,Not Significant
NISCH,0.367471684,8.875196277,1.800139069,0.078883836,0.895409612,-4.107105176,Not Significant,Not Significant,Not Significant,Not Significant
POLA1,-0.62046796,8.713028146,-1.800127727,0.078885655,0.895409612,-4.107116556,Not Significant,Not Significant,Not Significant,Not Significant
CSTB,0.537378287,9.094924255,1.799892039,0.078923472,0.895409612,-4.107353001,Not Significant,Not Significant,Not Significant,Not Significant
PCSK1N,-1.280618408,8.262072512,-1.799193575,0.079035632,0.895409612,-4.108053561,Not Significant,Not Significant,Not Significant,Not Significant
SPTBN4,0.305408136,6.859875843,1.798621311,0.079127626,0.895409612,-4.108627382,Not Significant,Not Significant,Not Significant,Not Significant
DPP8,0.462906922,9.006911312,1.797860708,0.079250037,0.895409612,-4.109389827,Not Significant,Not Significant,Not Significant,Not Significant
HSPA1L,0.299242413,7.03618822,1.797608638,0.07929064,0.895409612,-4.109642451,Not Significant,Not Significant,Not Significant,Not Significant
ZNF142,-0.317578511,7.97102056,-1.794952115,0.079719614,0.895409612,-4.112303078,Not Significant,Not Significant,Not Significant,Not Significant
ZNF24,-0.43934517,8.14076188,-1.792636338,0.080095157,0.895409612,-4.114619859,Not Significant,Not Significant,Not Significant,Not Significant
GMPPB,0.317956005,8.195175095,1.792535081,0.080111612,0.895409612,-4.114721106,Not Significant,Not Significant,Not Significant,Not Significant
IQCK,-0.474631332,7.345093978,-1.791043487,0.080354328,0.895409612,-4.116212007,Not Significant,Not Significant,Not Significant,Not Significant
CCT6A,-0.381958449,10.62097397,-1.790693243,0.08041141,0.895409612,-4.116561943,Not Significant,Not Significant,Not Significant,Not Significant
PSMA5,-0.613532793,8.65377355,-1.789845793,0.080549667,0.895409612,-4.117408423,Not Significant,Not Significant,Not Significant,Not Significant
FAAH,0.423340986,8.297526191,1.789784478,0.080559678,0.895409612,-4.117469655,Not Significant,Not Significant,Not Significant,Not Significant
GLA,-0.481301419,9.386415695,-1.788195248,0.080819519,0.895409612,-4.119056154,Not Significant,Not Significant,Not Significant,Not Significant
FAM3A,0.401322211,8.449565163,1.787377314,0.080953526,0.895409612,-4.119872241,Not Significant,Not Significant,Not Significant,Not Significant
SMOX,0.255015473,6.994111885,1.787085759,0.081001339,0.895409612,-4.120163065,Not Significant,Not Significant,Not Significant,Not Significant
TCAP,0.451637514,7.356697407,1.784777917,0.081380643,0.895409612,-4.122463776,Not Significant,Not Significant,Not Significant,Not Significant
ADAM8,-0.593640439,7.350308966,-1.783232869,0.081635412,0.895409612,-4.124002712,Not Significant,Not Significant,Not Significant,Not Significant
RDX,-0.449090329,7.638133102,-1.782810089,0.081705242,0.895409612,-4.124423634,Not Significant,Not Significant,Not Significant,Not Significant
MZB1,0.830943293,6.730724123,1.782170011,0.081811059,0.895409612,-4.125060744,Not Significant,Not Significant,Not Significant,Not Significant
FBXO28,-0.364165721,8.399004842,-1.781669683,0.081893852,0.895409612,-4.125558624,Not Significant,Not Significant,Not Significant,Not Significant
BTN3A1,-0.679967562,8.85549157,-1.781364757,0.081944346,0.895409612,-4.125862003,Not Significant,Not Significant,Not Significant,Not Significant
